pkt_count,byte_count,duration,mean_pkt_size,std_pkt_size,src_port,dst_port,proto_tcp,proto_udp,proto_icmp,syn_flag,fin_flag,rst_flag,packet_rate,byte_rate,syn_ratio,label
5,3665,0.003999948501586914,733.0,479.057407833341,43390,443,1,0,0,0,0,0,1250.0160934612863,916261.7965071228,0.0,0
5,3865,0.003999948501586914,773.0,437.8415238416749,42735,443,1,0,0,0,0,0,1250.0160934612863,966262.4402455743,0.0,0
5,3014,0.003999948501586914,602.8,323.7760954733996,15933,443,1,0,0,0,0,0,1250.0160934612863,753509.7011384633,0.0,0
5,4767,0.003999948501586914,953.4,334.88720489143805,5301,443,1,0,0,0,0,0,1250.0160934612863,1191765.3435059905,0.0,0
5,4473,0.003999948501586914,894.6,350.7481147490318,45000,443,1,0,0,0,0,0,1250.0160934612863,1118264.3972104667,0.0,0
5,2883,0.003999948501586914,576.6,466.5732954209874,52660,443,1,0,0,0,0,0,1250.0160934612863,720759.2794897776,0.0,0
5,3720,0.003999948501586914,744.0,442.8756033018753,59710,443,1,0,0,0,0,0,1250.0160934612863,930011.973535197,0.0,0
5,4033,0.003999948501586914,806.6,276.90836029271486,20829,443,1,0,0,0,0,0,1250.0160934612863,1008262.9809858735,0.0,0
5,4478,0.003999948501586914,895.6,333.35302608496,13655,443,1,0,0,0,0,0,1250.0160934612863,1119514.413303928,0.0,0
5,3981,0.003999948501586914,796.2,399.0174933508555,30924,443,1,0,0,0,0,0,1250.0160934612863,995262.8136138761,0.0,0
5,5051,0.003999948501586914,1010.2,259.65546402877794,15821,443,1,0,0,0,0,0,1250.0160934612863,1262766.2576145914,0.0,0
5,3699,0.003999948501586914,739.8,401.23928023063746,9796,443,1,0,0,0,0,0,1250.0160934612863,924761.9059426596,0.0,0
5,2272,0.003999948501586914,454.4,354.40406318212547,53604,443,1,0,0,0,0,0,1250.0160934612863,568007.3128688085,0.0,0
5,4008,0.003999948501586914,801.6,515.2822915645364,20751,443,1,0,0,0,0,0,1250.0160934612863,1002012.9005185671,0.0,0
5,3923,0.003999948501586914,784.6,504.47461779558347,41432,443,1,0,0,0,0,0,1250.0160934612863,980762.6269297252,0.0,0
5,5361,0.003999948501586914,1072.2,83.92711123349832,36866,443,1,0,0,0,0,0,1250.0160934612863,1340267.2554091911,0.0,0
5,3416,0.003999948501586914,683.2,430.03227785830217,21869,443,1,0,0,0,0,0,1250.0160934612863,854010.9950527508,0.0,0
5,2414,0.003999948501586914,482.8,391.0495620762156,8264,443,1,0,0,0,0,0,1250.0160934612863,603507.769923109,0.0,0
5,4351,0.003999948501586914,870.2,588.5960924097271,10210,443,1,0,0,0,0,0,1250.0160934612863,1087764.0045300112,0.0,0
5,4213,0.003999948501586914,842.6,328.8474418328353,24850,443,1,0,0,0,0,0,1250.0160934612863,1053263.5603504798,0.0,0
5,4881,0.003999948501586914,976.2,271.56833394193814,24006,443,1,0,0,0,0,0,1250.0160934612863,1220265.7104369076,0.0,0
5,3326,0.003999948501586914,665.2,400.5583103619247,24508,443,1,0,0,0,0,0,1250.0160934612863,831510.7053704476,0.0,0
5,2798,0.003999948501586914,559.6,365.15947201188686,1953,443,1,0,0,0,0,0,1250.0160934612863,699509.0059009359,0.0,0
5,4974,0.003999948501586914,994.8,415.0327216015624,27468,443,1,0,0,0,0,0,1250.0160934612863,1243516.0097752877,0.0,0
5,2122,0.003999948501586914,424.4,140.36894243385893,47331,443,1,0,0,0,0,0,1250.0160934612863,530506.83006497,0.0,0
